Data,Kurs
2023-01-02,5.2768
2023-01-03,5.2911
2023-01-04,5.3064
2023-01-05,5.2892
2023-01-09,5.3515
2023-01-10,5.3266
2023-01-11,5.2938
2023-01-12,5.3035
2023-01-13,5.291
2023-01-16,5.2998
2023-01-17,5.2992
2023-01-18,5.3543
2023-01-19,5.3625
2023-01-20,5.3711
2023-01-23,5.3648
2023-01-24,5.3443
2023-01-25,5.3263
2023-01-26,5.369
2023-01-27,5.3505
2023-01-30,5.3609
2023-01-31,5.3595
2023-02-01,5.3279
2023-02-02,5.2838
2023-02-03,5.2571
2023-02-06,5.2764
2023-02-07,5.3212
2023-02-08,5.3351
2023-02-09,5.3427
2023-02-10,5.3922
2023-02-13,5.4003
2023-02-14,5.4193
2023-02-15,5.3674
2023-02-16,5.3772
2023-02-17,5.3606
2023-02-20,5.352
2023-02-21,5.3832
2023-02-22,5.3971
2023-02-23,5.3984
2023-02-24,5.3663
2023-02-27,5.3523
2023-02-28,5.37
2023-03-01,5.3218
2023-03-02,5.2676
2023-03-03,5.3147
2023-03-06,5.3268
2023-03-07,5.2836
2023-03-08,5.2811
2023-03-09,5.2648
2023-03-10,5.3068
2023-03-13,5.3013
2023-03-14,5.3227
2023-03-15,5.3341
2023-03-16,5.3427
2023-03-17,5.362
2023-03-20,5.3808
2023-03-21,5.3561
2023-03-22,5.3385
2023-03-23,5.2966
2023-03-24,5.3417
2023-03-27,5.3364
2023-03-28,5.3242
2023-03-29,5.3302
2023-03-30,5.3177
2023-03-31,5.3107
2023-04-03,5.3236
2023-04-04,5.3462
2023-04-05,5.3379
2023-04-06,5.3648
2023-04-07,5.3404
2023-04-11,5.3369
2023-04-12,5.3041
2023-04-13,5.2874
2023-04-14,5.2565
2023-04-17,5.231
2023-04-18,5.2428
2023-04-19,5.2529
2023-04-20,5.2296
2023-04-21,5.2086
2023-04-24,5.2176
2023-04-25,5.1958
2023-04-26,5.1861
2023-04-27,5.1805
2023-04-28,5.2005
2023-05-02,5.2162
2023-05-04,5.217
2023-05-05,5.2452
2023-05-08,5.2297
2023-05-09,5.2458
2023-05-10,5.2424
2023-05-11,5.2109
2023-05-12,5.2189
2023-05-15,5.1817
2023-05-16,5.1626
2023-05-17,5.1581
2023-05-18,5.215
2023-05-19,5.2182
2023-05-22,5.2096
2023-05-23,5.1667
2023-05-24,5.164
2023-05-25,5.1935
2023-05-26,5.2074
2023-05-29,5.2146
2023-05-30,5.228
2023-05-31,5.2567
2023-06-01,5.2707
2023-06-02,5.2543
2023-06-05,5.2031
2023-06-06,5.213
2023-06-07,5.2109
2023-06-09,5.2106
2023-06-12,5.1835
2023-06-13,5.2055
2023-06-14,5.2298
2023-06-15,5.2166
2023-06-16,5.2095
2023-06-19,5.214
2023-06-20,5.1877
2023-06-21,5.1703
2023-06-22,5.1519
2023-06-23,5.194
2023-06-26,5.1803
2023-06-27,5.1561
2023-06-28,5.1764
2023-06-29,5.1643
2023-06-30,5.1796
2023-07-03,5.1587
2023-07-04,5.1588
2023-07-05,5.1953
2023-07-06,5.2362
2023-07-07,5.245
2023-07-10,5.2084
2023-07-11,5.2006
2023-07-12,5.2168
2023-07-13,5.1813
2023-07-14,5.1973
2023-07-17,5.1876
2023-07-18,5.1596
2023-07-19,5.1229
2023-07-20,5.1321
2023-07-21,5.1422
2023-07-24,5.1527
2023-07-25,5.1508
2023-07-26,5.1577
2023-07-27,5.1585
2023-07-28,5.1702
2023-07-31,5.1403
2023-08-01,5.1648
2023-08-02,5.1786
2023-08-03,5.1729
2023-08-04,5.1582
2023-08-07,5.1356
2023-08-08,5.1521
2023-08-09,5.1772
2023-08-10,5.1696
2023-08-11,5.1458
2023-08-14,5.1457
2023-08-16,5.2091
2023-08-17,5.224
2023-08-18,5.2515
2023-08-21,5.2317
2023-08-22,5.2306
2023-08-23,5.2539
2023-08-24,5.2291
2023-08-25,5.2128
2023-08-28,5.2065
2023-08-29,5.2132
2023-08-30,5.2023
2023-08-31,5.2158
2023-09-01,5.2301
2023-09-04,5.2241
2023-09-05,5.2203
2023-09-06,5.2626
2023-09-07,5.3518
2023-09-08,5.3645
2023-09-11,5.3926
2023-09-12,5.4495
2023-09-13,5.3931
2023-09-14,5.3845
2023-09-15,5.4005
2023-09-18,5.3845
2023-09-19,5.3802
2023-09-20,5.3803
2023-09-21,5.3357
2023-09-22,5.302
2023-09-25,5.2783
2023-09-26,5.298
2023-09-27,5.2997
2023-09-28,5.3631
2023-09-29,5.3464
2023-10-02,5.3183
2023-10-03,5.3195
2023-10-04,5.3492
2023-10-05,5.3057
2023-10-06,5.3195
2023-10-09,5.2897
2023-10-10,5.2747
2023-10-11,5.2304
2023-10-12,5.2452
2023-10-13,5.2563
2023-10-16,5.1683
2023-10-17,5.1222
2023-10-18,5.1283
2023-10-19,5.1171
2023-10-20,5.1159
2023-10-23,5.1103
2023-10-24,5.1366
2023-10-25,5.1328
2023-10-26,5.1209
2023-10-27,5.1266
2023-10-30,5.0987
2023-10-31,5.0823
2023-11-02,5.1135
2023-11-03,5.1123
2023-11-06,5.1471
2023-11-07,5.1259
2023-11-08,5.1196
2023-11-09,5.1061
2023-11-10,5.0609
2023-11-13,5.0783
2023-11-14,5.0683
2023-11-15,5.0416
2023-11-16,5.0119
2023-11-17,5.0048
2023-11-20,4.996
2023-11-21,4.9971
2023-11-22,5.0341
2023-11-23,5.0193
2023-11-24,5.0325
2023-11-27,5.0142
2023-11-28,5.0198
2023-11-29,5.0066
2023-11-30,5.035
2023-12-01,5.0557
2023-12-04,5.0509
2023-12-05,5.0417
2023-12-06,5.0656
2023-12-07,5.0597
2023-12-08,5.0458
2023-12-11,5.0567
2023-12-12,5.0516
2023-12-13,5.0289
2023-12-14,5.0015
2023-12-15,5.024
2023-12-18,5.0196
2023-12-19,5.0283
2023-12-20,5.0117
2023-12-21,5.0077
2023-12-22,4.9905
2023-12-27,4.9834
2023-12-28,4.9887
2023-12-29,4.9997
